YEAR	Month	Max Temp
1992	11	33.5
1992	12	27.8
1993	1	28.6
1993	2	32
1993	3	34.6
1993	4	37
1993	5	35
1993	6	34.3
1993	7	33.2
1993	8	33.3
1993	9	35.3
1993	10	33.6
1993	11	30.8
1993	12	29.1
1994	1	29.1
1994	2	31
1994	3	35.2
1994	4	37.6
1994	5	36.1
1994	6	34.8
1994	7	34
1994	8	34.1
1994	9	35
1994	10	34.5
1994	11	33
1994	12	29.8
1995	1	29.2
1995	2	30.8
1995	3	38.8
1995	4	39
1995	5	38
1995	6	36.6
1995	7	33.5
1995	8	34.7
1995	9	35.6
1995	10	34.6
1995	11	34.2
1995	12	28.6
1996	1	29.2
1996	2	32
1996	3	37.6
1996	4	38.4
1996	5	36.5
1996	6	35.5
1996	7	34.1
1996	8	35.5
1996	9	37.5
1996	10	35.4
1996	11	33.7
1996	12	30.3
1997	1	27.6
1997	2	31.3
1997	3	35.6
1997	4	34.7
1997	5	36.2
1997	6	35.5
1997	7	34.4
1997	8	37.5
1997	9	34
1997	10	34
1997	11	33.7
1997	12	29
1998	1	27.3
1998	2	30.8
1998	3	34.8
1998	4	35.7
1998	5	37.5
1998	6	35.8
1998	7	34.1
1998	8	34.6
1998	9	36.2
1998	10	35.7
1998	11	33.6
1998	12	30.3
1999	1	29.4
1999	2	34.2
1999	3	37.6
1999	4	37.6
1999	5	37.5
1999	6	36.6
1999	7	35.6
1999	8	34
1999	9	34.6
1999	10	34.6
1999	11	32.4
1999	12	29.7
2000	1	28.7
2000	2	28.2
2000	3	34
2000	4	35.1
2000	5	36.6
2000	6	35.2
2000	7	35.2
2000	8	35
2000	9	34.4
2000	10	34.9
2000	11	32.5
2000	12	27.3
2001	1	28
2001	2	31.4
2001	3	35.8
2001	4	37.5
2001	5	35
2001	6	33.8
2001	7	34
2001	8	34
2001	9	34.2
2001	10	34.8
2001	11	32
2001	12	28.4
2002	1	28.2
2002	2	33.5
2002	3	35.5
2002	4	34.3
2002	5	35.4
2002	6	34.4
2002	7	35.2
2002	8	34.1
2002	9	35
2002	10	34.2
2002	11	32
2002	12	29.5
2003	1	27.5
2003	2	31.6
2003	3	34
2003	4	36.2
2003	5	36.3
2003	6	36.7
2003	7	35.3
2003	8	35.1
2003	9	34.2
2003	10	34
2003	11	32.1
2003	12	29.2
2004	1	27.5
2004	2	32.8
2004	3	35.7
2004	4	35.2
2004	5	38.1
2004	6	35.2
2004	7	34.5
2004	8	34.6
2004	9	34
2004	10	34.5
2004	11	31.1
2004	12	29.4
2005	1	28.5
2005	2	32.1
2005	3	35.6
2005	4	37
2005	5	36.4
2005	6	36.6
2005	7	33.7
2005	8	34
2005	9	35.1
2005	10	34.6
2005	11	31.4
2005	12	29
2006	1	28.2
2006	2	35.9
2006	3	38.5
2006	4	37.1
2006	5	36.8
2006	6	35
2006	7	35.6
2006	8	35.2
2006	9	35.7
2006	10	34.7
2006	11	32.6
2006	12	30.1
2007	1	28.8
2007	2	30.8
2007	3	36.7
2007	4	35.9
2007	5	37.5
2007	6	35.9
2007	7	34.8
2007	8	35.9
2007	9	34.9
2007	10	35.6
2007	11	31.8
2007	12	28.2
2008	1	29
2008	2	30.6
2008	3	34.6
2008	4	36.9
2008	5	36.7
2008	6	35.4
2008	7	34
2008	8	36
2008	9	34.8
2008	10	34.8
2008	11	32.3
2008	12	29
2009	1	28.1
2009	2	33.9
2009	3	36
2009	4	39.6
2009	5	37.8
2009	6	36.5
2009	7	35.7
2009	8	34.3
2009	9	35.3
2009	10	35.8
2009	11	33.9
2009	12	29
2010	1	29
2010	2	31.2
2010	3	37.3
2010	4	37.9
2010	5	36.9
2010	6	35.8
2010	7	35.1
2010	8	35.1
2010	9	34
2010	10	35.7
2010	11	33.2
2010	12	29.7
2011	1	27.8
2011	2	31
2011	3	34.5
2011	4	35.8
2011	5	35.3
2011	6	36
2011	7	35.4
2011	8	35
2011	9	36.2
2011	10	34.5
2011	11	32.4
2011	12	30
2012	1	28.5
2012	2	33
2012	3	37.3
2012	4	37.1
2012	5	36.2
2012	6	36.7
2012	7	34.3
2012	8	34.5
2012	9	36.5
2012	10	34.4
2012	11	32.4
2012	12	28.5
2013	1	28.1
2013	2	32.4
2013	3	36
2013	4	37
2013	5	37.1
2013	6	36.4
2013	7	34.6
2013	8	35
2013	9	35.7
2013	10	35.2
2013	11	32.1
2013	12	30.5
2014	1	24.3
2014	2	27.2
2014	3	32.4
2014	4	36.4
2014	5	35.2
2014	6	33.2
2014	7	32.9
2014	8	32.2
2014	9	32.9
2014	10	32.2
2014	11	30.2
2014	12	24.5
2015	1	24.77
2015	2	28.42
2015	3	32.1
2015	4	32.82
2015	5	34.08
2015	6	32.74
2015	7	31.72
2015	8	32.61
2015	9	32.86
2015	10	32.69
2015	11	30.23
2015	12	25.34
2016	1	24.87
2016	2	29.8
2016	3	33.11
2016	4	35.13
2016	5	33.68
2016	6	33.93
2016	7	33.22
2016	8	33.28
2016	9	32.87
2016	10	33.07
2016	11	29.6
2016	12	27.75
2017	1	28.4
2017	2	30
2017	3	32.4
2017	4	34.6
2017	5	32.5
2017	6	31.4
2017	7	32
2017	8	30.8
2017	9	32.1
2017	10	30.8
2017	11	29.3
2017	12	29.1
2018	1	29.1
2018	2	29.5
2018	3	32.2
2018	4	32.2
2018	5	30.5
2018	6	30.5
2018	7	31.7
2018	8	32
2018	9	32.8
2018	10	29.4
2018	11	29.3
2018	12	28.9
2019	1	28.6
2019	2	31.1
2019	3	32.8
2019	4	33.1
2019	5	33.3
2019	6	32.7
2019	7	32.7
2019	8	32.1
2019	9	32.1
2019	10	29.8
2019	11	30
2019	12	28.8
2020	1	29.2
2020	2	30.7
2020	3	32.7
2020	4	32.7
2020	5	32.5
2020	6	32.4
2020	7	31.6
2020	8	32.5
2020	9	31.7
2020	10	31.8
2020	11	30
2020	12	28.6
2021	1	30
2021	2	38
2021	3	38
2021	4	36
2021	5	36
2021	6	34
2021	7	35
2021	8	33
2021	9	34
2021	10	35
2021	11	33
